Student,Game1.1,Game1.2,Game1.3,Game2.1,Game2.2,Game2.3
1,47,50,52,12,15,7
2,45,47,50,5,9,80
3,52,49,47,12,13,11
4,53,67,54,11,9,7
5,40,56,43,18,16,6
6,51,45,53,100,11,7
7,31,48,47,100,15,9
8,36,34,35,18,16,17
9,34,48,50,21,16,4
10,23,47,50,25,15,5
11,71,63,100,11,10,9
12,24,32,52,14,16,10
13,37,39,31,19,19,6
14,42,37,51,20,17,6
15,40,40,50,20,19,7
16,32,41,53,22,11,13
17,54,63,56,13,16,10
18,42,38,54,15,10,4
19,43,53,52,18,16,9
20,49,68,45,15,11,10
21,25,49,52,23,13,7
22,48,39,54,24,12,9
23,48,46,53,16,19,5
24,37,46,50,24,11,9
25,14,100,5,16,9,7
26,66,79,78,16,8,6
27,32,37,47,16,7,7
28,43,45,46,99,7,9
29,48,46,56,16,12,9
30,21,0,99,11,11,13
31,48,1,38,26,12,5
32,58,58,38,25,12,3
33,20,53,75,18,15,4
34,42,51,48,20,12,10
35,69,48,51,15,6,3
36,23,38,46,19,12,3
37,42,55,48,7,16,3
38,46,50,51,100,16,5
39,27,52,52,100,14,98
40,37,49,52,98,5,99
41,52,47,33,11,100,5
42,69,99,0,18,7,2
43,24,43,50,25,10,6
44,45,53,54,15,12,7
45,50,55,55,26,13,8
46,56,54,54,12,9,7
47,24,52,0,100,7,5
48,43,51,47,50,0,20
49,43,49,46,14,10,3
50,53,47,100,23,7,9
51,30,35,47,26,19,9
52,67,46,51,30,14,7
53,11,49,53,24,16,13
54,49,45,51,12,14,5
55,67,47,51,9,12,5
56,56,49,47,23,18,6
57,67,48,47,29,8,7
58,51,49,50,12,17,3
59,50,48,52,19,7,9
60,43,69,51,15,10,14
61,42,66,56,16,17,4
62,51,69,31,27,11,13
63,49,39,77,100,100,6
64,41,41,46,26,11,17
65,57,49,52,12,21,99
66,69,48,99,5,99,9
67,53,36,47,12,18,9
