ID,gender,call,guess,sample_mean
1,0,0,1,1.4
2,1,0,2,1.2
3,0,3,2,1.2
4,0,0,2,1.8
5,1,0,1,1.4
6,1,0,0,1.4
7,0,1,0.6,1
8,0,0,2,2.6
9,1,1,1,1.6
10,0,1,2,1.4
11,1,1,2,1.2
12,1,4,2,0.6
13,0,2,2,1.8
14,0,2,2.6,1.8
15,1,2,1,1.2
16,0,3,2,1.2
17,0,1,2,1.6
18,0,0,1.5,1.8
19,0,0,3,2
20,0,0,2,2
21,0,1,1,1.8
22,1,1,0.6,0.8
23,1,3,1.5,1
24,0,3,2,0.6
25,0,1,1.5,1.6
26,0,1,2.3,2.2
27,1,0,2.4,1.2
28,1,1,2,1.4
29,1,1,1,1
30,0,0,1,1
31,0,2,2,1
32,0,1,3,2.4
33,1,3,1,1
34,0,5,2,3.8
35,0,6,3,3.4
36,0,2,2,2.8
37,0,0,1,2.2
38,0,3,1.5,1.6
39,0,0,1.4,1
40,0,0,1.5,1.4
41,0,2,1.8,1
42,0,0,2,1.4
43,1,0,3,1.6
44,1,0,1,1.2
45,0,0,3,1.6
46,0,1,1,1.4
47,0,0,1,1
48,1,1,2,1.4
49,1,2,3,3
50,1,3,2,1
51,1,3,3,1.8
52,1,2,3,2
53,1,1,5,3.5
54,0,1,1.5,0.6
55,0,1,1,0.6
56,1,0,1.5,1.8
57,1,4,1.2,0.8
58,0,0,1,2.6
59,0,0,1,0.6
60,1,2,3,1.2
61,0,2,3,1.2
62,1,0,87,1.6
63,1,0,1.2,1.2
