ID,gender,lunch,dinner,sample_mean
1,0,70,20,70
2,0,65,90,75
3,0,71,45,69.5
4,1,60,90,78.9
5,1,75,70,96.1
6,1,65,80,98.33
7,0,40,120,75.9
8,0,95,140,62.8
9,0,75,65,67.2
10,0,75,199,61.1
11,0,115,35,73.3
12,0,50,90,80
13,1,85,100,72
14,1,100,100,88
15,1,110,65,70.1
16,1,250,100,76.67
17,1,85,80,71.7
18,1,60,130,78.8
19,1,65,70,70
20,0,90,150,66.1
21,0,30,60,70
22,0,55,100,71.1
23,0,50,70,71.6
24,0,70,100,75
25,0,75,150,70
26,0,50,90,65.5
27,0,35,300,69.4
28,0,61,65,65
29,1,70,130,76.1
30,1,70,105,75
31,0,60,50,73.3
32,0,80,100,78.3
33,0,75,420,76.6
34,1,100,150,84
35,1,55,150,170.4
36,1,30,120,61
37,0,70,86,84.4
38,0,120,55,75
39,0,125,160,75
40,0,55,80,82.7
41,0,65,130,81.7
42,0,80,120,85
43,0,65,75,74
44,0,60,80,71
45,0,69,120,75
46,0,100,135,88.8
47,0,110,130,97.1
